scientific_name,evol_dist,family,group
Apristurus micropterygeus,29.557180634557156,Pentanchidae,Sharks
Parmaturus xaniurus,26.206157686132155,Pentanchidae,Sharks
Parmaturus pilosus,18.852306126056074,Pentanchidae,Sharks
Parmaturus macmillani,16.395308641966075,Pentanchidae,Sharks
Parmaturus lanatus,26.235131177932153,Pentanchidae,Sharks
Parmaturus melanobranchus,26.235131177932153,Pentanchidae,Sharks
Galeus eastmani,70.87991180572861,Pentanchidae,Sharks
Galeus sauteri,70.87991180572861,Pentanchidae,Sharks
Holohalaelurus favus,65.92146593,Pentanchidae,Sharks
Holohalaelurus punctatus,19.10360353839473,Pentanchidae,Sharks
Holohalaelurus regani,19.10360353839473,Pentanchidae,Sharks
Holohalaelurus grennian,35.40152291678945,Pentanchidae,Sharks
Holohalaelurus melanostigma,101.79925562115781,Pentanchidae,Sharks
Pentanchus profundicolus,131.80770623115782,Pentanchidae,Sharks
Halaelurus sellus,68.06212804014473,Pentanchidae,Sharks
Halaelurus buergeri,26.53986432903618,Pentanchidae,Sharks
Halaelurus boesemani,26.53986432903618,Pentanchidae,Sharks
Halaelurus lineatus,58.157247626644725,Pentanchidae,Sharks
Halaelurus natalensis,29.83384510432236,Pentanchidae,Sharks
Halaelurus quagga,29.83384510432236,Pentanchidae,Sharks
Haploblepharus kistnasamyi,36.24696459664473,Pentanchidae,Sharks
Haploblepharus edwardsii,36.24696459664473,Pentanchidae,Sharks
Haploblepharus pictus,44.917798782644724,Pentanchidae,Sharks
Haploblepharus fuscus,44.917798782644724,Pentanchidae,Sharks
Iago garricki,65.37854418158486,Triakidae,Sharks
Iago omanensis,65.37854418158486,Triakidae,Sharks
Galeorhinus galeus,65.85330785658486,Triakidae,Sharks
Gogolia filewoodi,38.162959663292426,Triakidae,Sharks
Hypogaleus hyugaensis,38.162959663292426,Triakidae,Sharks
Mustelus higmani,37.853945240396214,Triakidae,Sharks
Mustelus punctulatus,37.853945240396214,Triakidae,Sharks
Mustelus griseus,35.25588894269811,Triakidae,Sharks
Mustelus sinusmexicanus,35.25588894269811,Triakidae,Sharks
Mustelus mustelus,24.911390063674524,Triakidae,Sharks
Mustelus walkeri,10.765259005334315,Triakidae,Sharks
Mustelus ravidus,6.664004334667157,Triakidae,Sharks
Mustelus widodoi,6.664004334667157,Triakidae,Sharks
Mustelus mosis,15.744678995668632,Triakidae,Sharks
Mustelus lunulatus,21.418037468337264,Triakidae,Sharks
Mustelus californicus,30.118228807349055,Triakidae,Sharks
Mustelus norrisi,29.98256224734905,Triakidae,Sharks
Mustelus henlei,23.724182080674527,Triakidae,Sharks
Mustelus canis,23.724182080674527,Triakidae,Sharks
Mustelus fasciatus,43.74642383479243,Triakidae,Sharks
Mustelus whitneyi,12.808439377599054,Triakidae,Sharks
Mustelus schmitti,12.808439377599054,Triakidae,Sharks
Mustelus asterias,6.862309680274764,Triakidae,Sharks
Mustelus palumbes,6.862309680274764,Triakidae,Sharks
Mustelus stevensi,7.819580361774763,Triakidae,Sharks
Mustelus lenticulatus,5.580747166587382,Triakidae,Sharks
Mustelus antarcticus,5.580747166587382,Triakidae,Sharks
Mustelus manazo,15.563850011099053,Triakidae,Sharks
Mustelus dorsalis,31.455681675396214,Triakidae,Sharks
Mustelus albipinnis,45.32756404079243,Triakidae,Sharks
Mustelus mento,30.149034775896215,Triakidae,Sharks
Scylliogaleus quecketti,30.149034775896215,Triakidae,Sharks
Mustelus minicanis,24.538368606896213,Triakidae,Sharks
Triakis megalopterus,24.538368606896213,Triakidae,Sharks
Triakis maculata,22.225154530042435,Triakidae,Sharks
Triakis semifasciata,22.225154530042435,Triakidae,Sharks
Triakis acutipinna,42.600154014084865,Triakidae,Sharks
Triakis scyllium,71.12523079816972,Triakidae,Sharks
Furgaleus macki,75.61607383816973,Triakidae,Sharks
Hemitriakis japanica,26.08352953104243,Triakidae,Sharks
Hemitriakis leucoperiptera,26.08352953104243,Triakidae,Sharks
Hemitriakis abdita,28.971329783042428,Triakidae,Sharks
Hemitriakis complicofasciata,9.026163859260608,Triakidae,Sharks
Hemitriakis indroyonoi,9.026163859260608,Triakidae,Sharks
Hemitriakis falcata,16.341595387521217,Triakidae,Sharks
Hemipristis elongata,101.96070173081446,Hemigaleidae,Sharks
Paragaleus pectoralis,29.023617839050903,Hemigaleidae,Sharks
Paragaleus randalli,15.251729878025452,Hemigaleidae,Sharks
Paragaleus leucolomatus,15.251729878025452,Hemigaleidae,Sharks
Paragaleus tengi,52.26380615010181,Hemigaleidae,Sharks
Hemigaleus microstoma,55.74364121520361,Hemigaleidae,Sharks
Hemigaleus australiensis,55.74364121520361,Hemigaleidae,Sharks
Galeocerdo cuvier,98.97594503991445,Carcharhinidae,Sharks
Loxodon macrorhinus,67.23835391,Carcharhinidae,Sharks
Rhizoprionodon acutus,64.63617635,Carcharhinidae,Sharks
Rhizoprionodon porosus,12.093643783298663,Carcharhinidae,Sharks
Rhizoprionodon oligolinx,12.093644783298664,Carcharhinidae,Sharks
Rhizoprionodon taylori,12.615191598998663,Carcharhinidae,Sharks
Rhizoprionodon terraenovae,12.615190598998662,Carcharhinidae,Sharks
Rhizoprionodon longurio,28.181736808497327,Carcharhinidae,Sharks
Rhizoprionodon lalandii,28.181736808497327,Carcharhinidae,Sharks
Carcharhinus signatus,59.67707039361966,Carcharhinidae,Sharks
Carcharhinus borneensis,27.987149393838727,Carcharhinidae,Sharks
Carcharhinus macloti,27.987149393838727,Carcharhinidae,Sharks
Carcharhinus galapagensis,9.645905420343045,Carcharhinidae,Sharks
Carcharhinus obscurus,9.645905420343045,Carcharhinidae,Sharks
Carcharhinus amboinensis,12.255822261343045,Carcharhinidae,Sharks
Carcharhinus longimanus,12.255819261343046,Carcharhinidae,Sharks
Carcharhinus hemiodon,20.206283586872182,Carcharhinidae,Sharks
Carcharhinus cerdale,20.206283586872182,Carcharhinidae,Sharks
Carcharhinus leucas,23.62341974812218,Carcharhinidae,Sharks
Carcharhinus tjutjot,23.623421748122183,Carcharhinidae,Sharks
Carcharhinus altimus,11.778284014140272,Carcharhinidae,Sharks
Carcharhinus plumbeus,11.778284014140272,Carcharhinidae,Sharks
Carcharhinus brevipinna,15.735631221790273,Carcharhinidae,Sharks
Carcharhinus brachyurus,12.622988412395136,Carcharhinidae,Sharks
Carcharhinus acronotus,13.562803671640273,Carcharhinidae,Sharks
Nasolamia velox,13.562803671640273,Carcharhinidae,Sharks
Carcharhinus isodon,20.685303455280547,Carcharhinidae,Sharks
Isogomphodon oxyrhynchus,27.499660768122183,Carcharhinidae,Sharks
Carcharhinus sealei,22.057366918919364,Carcharhinidae,Sharks
Carcharhinus dussumieri,22.057366918919364,Carcharhinidae,Sharks
Carcharhinus sorrah,29.415877919838728,Carcharhinidae,Sharks
Carcharhinus porosus,19.120997752084683,Carcharhinidae,Sharks
Carcharhinus albimarginatus,19.12099575208468,Carcharhinidae,Sharks
Carcharhinus falciformis,27.45168860708468,Carcharhinidae,Sharks
Carcharhinus amblyrhynchos,18.78445535854234,Carcharhinidae,Sharks
Prionace glauca,18.78445435854234,Carcharhinidae,Sharks
Triaenodon obesus,33.79075816733873,Carcharhinidae,Sharks
Carcharhinus cautus,21.722110302476228,Carcharhinidae,Sharks
Carcharhinus melanopterus,21.722110302476228,Carcharhinidae,Sharks
Carcharhinus fitzroyensis,20.130525119476225,Carcharhinidae,Sharks
Carcharhinus coatesi,20.130525119476225,Carcharhinidae,Sharks
Carcharhinus limbatus,24.014730266952455,Carcharhinidae,Sharks
Carcharhinus tilstoni,14.601214585976228,Carcharhinidae,Sharks
Carcharhinus leiodon,8.310163151988114,Carcharhinidae,Sharks
Carcharhinus amblyrhynchoides,8.310164151988115,Carcharhinidae,Sharks
Negaprion acutidens,43.286206846809826,Carcharhinidae,Sharks
Negaprion brevirostris,43.286206846809826,Carcharhinidae,Sharks
Lamiopsis temminckii,29.688299501404913,Carcharhinidae,Sharks
Lamiopsis tephrodes,29.688299501404913,Carcharhinidae,Sharks
Eusphyra blochii,69.02064875073931,Sphyrnidae,Sharks
Sphyrna mokarran,60.01464362936965,Sphyrnidae,Sharks
Sphyrna zygaena,53.40494889868482,Sphyrnidae,Sharks
Sphyrna lewini,46.08771525284241,Sphyrnidae,Sharks
