scientific_name,estimate,family,habitat,max_size_cm,ventilation_method,reproductive_mode,median_depth,ac,order,source,genus,species
Pentanchus profundicolus,,Pentanchidae,demersal,51,stationary,lecithotrophic oviparity,871,32.23553571,,this study,Pentanchus,profundicolus
Squalus brevirostris,,Squalidae,demersal,57.8,stationary,lecithotrophic viviparity,191,7.737926667,Squaliformes,this study,Squalus,brevirostris
Etmopterus splendidus,,Etmopteridae,pelagic,30.7,stationary,lecithotrophic viviparity,245,6.4357,Squaliformes,this study,Etmopterus,splendidus
Mustelus albipinnis,,Triakidae,pelagic,109,ram,lecithotrophic viviparity,155.5,9.853114,,this study,Mustelus,albipinnis
Scyliorhinus garmani,,Scyliorhinidae,pelagic,38,stationary,lecithotrophic oviparity,,7.549233333,,this study,Scyliorhinus,garmani
Galeus arae,,Pentanchidae,demersal,32.7,stationary,lecithotrophic oviparity,512,8.8537,,this study,Galeus,arae
Mustelus punctulatus,,Triakidae,demersal,190,ram,lecithotrophic viviparity,150,5.4161,,this study,Mustelus,punctulatus
Hemitriakis japanica,,Triakidae,demersal,314,ram,lecithotrophic viviparity,324.5,5.9831,Carcharhiniformes,this study,Hemitriakis,japanica
Centroscyllium ritteri,,Etmopteridae,demersal,43,stationary,lecithotrophic viviparity,605,1,Squaliformes,this study,Centroscyllium,ritteri
Poroderma pantherinum,,Scyliorhinidae,pelagic,84,stationary,lecithotrophic oviparity,128,5.5106,,this study,Poroderma,pantherinum
Centroscyllium fabricii,,Etmopteridae,demersal,120,stationary,lecithotrophic viviparity,1190,8.0273,Squaliformes,this study,Centroscyllium,fabricii
Orectolobus japonicus,,Orectolobidae,demersal,118,stationary,lecithotrophic viviparity,100,5.913222222,Orectolobiformes,this study,Orectolobus,japonicus
Galeus nipponensis,,Pentanchidae,demersal,75.6,stationary,lecithotrophic oviparity,345,6.907833333,,this study,Galeus,nipponensis
Mustelus widodoi,,Triakidae,pelagic,109.5,ram,lecithotrophic viviparity,90,9.853114,,this study,Mustelus,widodoi
Etmopterus decacuspidatus,,Etmopteridae,pelagic,29,stationary,lecithotrophic viviparity,602,6.274288889,,this study,Etmopterus,decacuspidatus
Chiloscyllium burmensis,,Hemiscylliidae,demersal,57.5,stationary,lecithotrophic oviparity,31,10.693,,this study,Chiloscyllium,burmensis
Mustelus manazo,,Triakidae,demersal,220,ram,lecithotrophic viviparity,180,6.4592,,this study,Mustelus,manazo
Pristiophorus japonicus,,Pristiophoridae,demersal,153,stationary,lecithotrophic viviparity,645,5.9166,Pristiophoriformes,this study,Pristiophorus,japonicus
Halaelurus maculosus,,Pentanchidae,demersal,52.8,stationary,lecithotrophic oviparity,65,7.4014,,this study,Halaelurus,maculosus
Haploblepharus pictus,,Pentanchidae,demersal,60,stationary,lecithotrophic oviparity,17.5,5.0105,,this study,Haploblepharus,pictus
Rhizoprionodon longurio,,Carcharhinidae,pelagic,154,ram,matrotrophic viviparity,13.5,7.999,Carcharhiniformes,this study,Rhizoprionodon,longurio
Holohalaelurus punctatus,,Pentanchidae,demersal,35,stationary,lecithotrophic oviparity,330,6.6565,,this study,Holohalaelurus,punctatus
Halaelurus buergeri,,Pentanchidae,demersal,49,stationary,lecithotrophic oviparity,90,7.4014,,this study,Halaelurus,buergeri
Galeus murinus,,Pentanchidae,demersal,63,stationary,lecithotrophic oviparity,837.5,3.4859,,this study,Galeus,murinus
Mustelus griseus,,Triakidae,demersal,87,ram,lecithotrophic viviparity,152.5,6.3513,,this study,Mustelus,griseus
Cephaloscyllium umbratile,,Scyliorhinidae,pelagic,120,stationary,lecithotrophic viviparity,260,6.14548,,this study,Cephaloscyllium,umbratile
Atelomycterus baliensis,,Scyliorhinidae,demersal,520,stationary,lecithotrophic oviparity,32.5,6.812653333,,this study,Atelomycterus,baliensis
Centroscyllium excelsum,,Etmopteridae,demersal,63.59999847,stationary,lecithotrophic viviparity,900,4.034025,,this study,Centroscyllium,excelsum
Squalus bassi,,Squalidae,pelagic,110,stationary,lecithotrophic viviparity,375,7.737926667,,this study,Squalus,bassi
