ac,eo,species
6.0878,0.085716,Astacilla lineata
6.2476,0.16232,Astacilla longipes
7.7375,0.26614,Astacilla spinata
5.2594,-0.0037021,Asteropella maclaughlinae
1.8093,-1.6331,Asteropella pax
5.1511,0.16407,Asteropella slatteryi
1.9534,-1.8418,Asteropterygion oculitristis
5.2211,0.10677,Asthenognathus atlanticus
5.2576,-0.0094511,Asthenognathus inaequipes
4.4966,0.46867,Astyra abyssi
5.7642,0.11973,Atelecyclus rotundatus
5.4052,0.067184,Atelecyclus undecimdentatus
6.6717,0.15471,Atergatis dilatatus
4.2412,-0.11411,Atergatis integerrimus
