scientific_name,common_name,family,order,ventilation_method,max_size_cm,measure,median_depth,reproductive_mode,habitat_associated,notes
Rostroraja alba,White skate,Rajidae,Rajiformes,stationary,240,total_length,380,oviparous,demersal,
Rostroraja eglanteria,Clearnose skate,Rajidae,Rajiformes,stationary,84,total_length,164.5,oviparous,demersal,
Scyliorhinidae,Cat/swellsharks,Scyliorhinidae,Carcharhiniformes,stationary,,,,,,
Scyliorhinus,Catsharks,Scyliorhinidae,Carcharhiniformes,stationary,,,,,,
Scyliorhinus canicula,Small-spotted catshark,Scyliorhinidae,Carcharhiniformes,stationary,100,total_length,400.5,oviparous,demersal,
Scyliorhinus stellaris,Nursehound,Scyliorhinidae,Carcharhiniformes,stationary,162,total_length,190.5,oviparous,reef-associated,
Scymnodon ringens,Knifetooth dogfish,Somniosidae,Squaliformes,stationary,110,total_length,900,yolk-sac viviparity,bathypelagic,
Somniosus microcephalus,Greenland shark,Somniosidae,Squaliformes,stationary,730,total_length,1323.5,yolk-sac viviparity,benthopelagic,
Sphyrna,Hammerhead sharks,Sphyrnidae,Carcharhiniformes,ram,,total_length,,placental viviparity,,
Sphyrna corona,Scalloped bonnethead,Sphyrnidae,Carcharhiniformes,ram,92,total_length,50,placental viviparity,coastal,
Sphyrna lewini,Scalloped hammerhead,Sphyrnidae,Carcharhiniformes,ram,430,total_length,521.5,placental viviparity,pelagic,
Sphyrna media,Scoophead,Sphyrnidae,Carcharhiniformes,ram,150,total_length,50,placental viviparity,coastal,
Sphyrna mokarran,Great hammerhead,Sphyrnidae,Carcharhiniformes,ram,610,total_length,150,placental viviparity,coastal-pelagic,
Sphyrna tiburo,Bonnethead,Sphyrnidae,Carcharhiniformes,ram,150,total_length,45,placental viviparity,coastal,
Sphyrna zygaena,Smooth hammerhead,Sphyrnidae,Carcharhiniformes,ram,400,total_length,100,placental viviparity,pelagic,
Sphyrnidae,"Hammer, bonnet, scoophead sharks",Sphyrnidae,Carcharhiniformes,ram,,total_length,,placental viviparity,,
