SciName,r_fin
Plagiogeneion rubiginosum,0.4673229729
Mullus argentinae,0.7768645571
Sparus aurata,0.3799373066
Grammoplites suppositus,0.4214210503
Peprilus paru,0.9114069224
Sparidentex hasta,0.5087921114
Dicologlossa cuneata,0.2185335151
Farfantepenaeus aztecus,0.52
Farfantepenaeus brevirostris,0.55
Farfantepenaeus californiensis,0.92
Farfantepenaeus duorarum,0.51
Fenneropenaeus chinensis,0.88
Fenneropenaeus merguiensis,1.18
Melicertus kerathurus,0.57
Trachysalambria curvirostris,1.19
Litopenaeus occidentalis,0.89
Litopenaeus setiferus,0.56
Litopenaeus vannamei,0.7
Melicertus latisulcatus,1.12
Palinurus delagoae,0.22
Palinurus mauritanicus,0.22
Panulirus cygnus,1.15
Panulirus gracilis,1.0175
Panulirus homarus,1.0175
Panulirus longipes,1.0175
Lithodes aequispinus,0.57
Penaeus monodon,1.19
Xiphopenaeus kroyeri,0.88
Artemesia longinaris,0.52
Metapenaeus endeavouri,0.93
Metapenaeus joyneri,1.02
Metapenaeus monoceros,1.11
Acetes erythraeus,1.19
Acetes japonicus,1.19
Pleoticus muelleri,1.19
Haliporoides diomedeae,0.96
Haliporoides triarthrus,0.96
Sicyonia brevirostris,0.81
Sicyonia ingentis,0.81
Aristeus varidens,0.48
Nematopalaemon schmitti,1.19
Pandalus jordani,0.54
Pandalus hypsinotus,0.56
Homarus gammarus,0.37
Panulirus argus,0.55
Palinurus elephas,0.22
Lithodes santolla,0.57
Nematopalaemon hastatus,1.19
Pandalus kessleri,0.56
Panopea abrupta,0.37
Tivela mactroides,1.18
Penaeus penicillatus,1.083333333
Cancer pagurus,0.46
Chaceon affinis,0.42
Callinectes danae,0.6
Portunus pelagicus,1.19
Cancer borealis,0.46
Portunus trituberculatus,1.19
Scylla serrata,1.17
Chaceon maritae,0.42
Chaceon fenneri,0.42
Cancer productus,0.46
Metacarcinus magister,0.57
Chionoecetes japonicus,0.58
Loxechinus albus,0.57
Cerastoderma edule,0.49
Loligo vulgaris,0.34
Spisula solida,0.47
Mytilus edulis,0.54
Mytilus galloprovincialis,0.5
Eledone cirrhosa,0.54
Illex coindetii,0.52
Todarodes sagittatus,0.38
Crassostrea gigas,0.57
Crassostrea virginica,0.57
Aequipecten opercularis,0.56
Pecten maximus,0.57
Sepia officinalis,0.56
Chamelea gallina,0.5
Mercenaria mercenaria,0.43
Argopecten irradians,1.01
Octopus maya,0.65
Illex argentinus,1
Todarodes pacificus,1.12
Dosidicus gigas,1.19
Ruditapes philippinarum,1.19
Pecten novaezelandiae,0.51
Argopecten ventricosus,1.01
Pecten jacobaeus,0.43
Turbo cornutus,1.19
Ruditapes decussatus,1.19
Haliotis rubra,0.57
Tegillarca granosa,0.85
Mytilus coruscus,0.49
Doryteuthis gahi,0.48
Doryteuthis opalescens,0.93
Doryteuthis pealeii,0.705
Beryx splendens,0.2419321683
Thunnus alalunga,0.1393771315
Thunnus alalunga,0.1393771315
Thunnus alalunga,0.1393771315
Thunnus alalunga,0.1393771315
Thunnus alalunga,0.1393771315
Thunnus alalunga,0.1393771315
Pleuronectes quadrituberculatus,0.120334472
Hippoglossoides platessoides,0.1450003553
